Region,Organization,Person,Title,LinkedIn,X,GitHub,NHS Wales email,Stakeholder engagement notes,Tone advice,Source URL
Wales,Aneurin Bevan UHB,Nicola Prygodzicz,CEO,https://www.linkedin.com/in/nicola-prygodzicz-3528bb113,https://x.com/CEOabuhb,,,"Active on X as @CEOabuhb. | Ex-Executive Director of Planning, Digital and IT. | Speaks tech fluently. | Led Grange/Clinical Futures opening.","Speaks tech fluently — lead with specifics, skip the NHS-jargon translation layer. | Reference Clinical Futures / Grange opening as precedent; she ran it.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Aneurin Bevan UHB,Andrew Morgan OBE,Chair (non-executive),,https://x.com/AndrewMorganRCT,,,"Took up Chair role 5 May 2026, replacing Ann Lloyd; selected as preferred candidate Feb 2026, confirmed by Senedd pre-appointment scrutiny. | X handle pre-dates his ABUHB chairship — long-standing political account from his RCT Council leadership. | Leader of Rhondda Cynon Taf Council for 12 years and Leader of the Welsh Local Government Association (WLGA) since 2019 — deeply networked across Welsh local government and Welsh Government. | Brings council-leader instincts on social-care interface, housing, and regional partnership — expect emphasis on Gwent Regional Partnership Board and place-based care. | Brand-new in post (mid-2026) — receptive window for clearly-framed propositions that respect his place-based / partnership lens. | Pair any approach with CEO Nicola Prygodzicz and Paul Solloway; Morgan unlikely to engage cold on digital.","Lead with place-based / partnership framing — Gwent Regional Partnership Board, social-care interface, housing. | Don't approach cold on digital — route via CEO Prygodzicz and Director of Digital Solloway.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Aneurin Bevan UHB,Dr Seema Srivastava MBE,Executive Medical Director,https://www.linkedin.com/in/seema-srivastava-mbe-94018880,,,,"MBE (2018) for services to NHS patient safety. | Ex-Deputy Medical Director & Caldicott Guardian at University Hospitals Bristol and Weston (UHBW). | Clinical Lead for the first COVID vaccination site in Bristol/North Somerset/South Gloucestershire — passion for tackling health inequalities. | MSc Distinction in Leadership in Healthcare (Quality Improvement), Ashridge; Generation Q Health Foundation Fellow. | Strong angle: patient-safety, QI, digital inclusion for underserved groups.","Frame around patient safety, QI methodology and health-inequality reduction for underserved groups. | Avoid generic transformation talk — she expects QI rigour and inclusion data.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Aneurin Bevan UHB,Jennifer Winslade,Executive Director of Nursing,https://www.linkedin.com/in/jennifer-winslade-a858aa67/,,,,"Qualified 1991; intensive care + acute background; trained District Nurse and Health Visitor; BSc Community Nursing King's College London; MA Professional Practice. | Two years working in the USA early career — unusual transatlantic exposure for an NHS exec nurse. | 15+ years as Director of Nursing across English commissioning (one of the largest CCGs), an English ambulance service, and community services before joining ABUHB. | Joined ABUHB c.2023; explicit focus on quality management and organisational improvement. | RCN Wales wrote to her jointly with CEO Prygodzicz on corridor care (Jan 2025) — corridor care, safer staffing and quality are live issues for her. | Hook: digital tools for community/district nursing, safer-staffing analytics, quality dashboards — community-services pedigree makes her receptive to non-acute digital propositions.","Community / district-nursing digital framing lands; address corridor care and safer staffing head-on. | Avoid acute-only framing — her instincts are community and commissioning, not the acute floor.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Aneurin Bevan UHB,Paul Solloway,Director of Digital,https://www.linkedin.com/in/paul-solloway-8654871a/,,,,"Appointed Director of Digital, ABUHB, June 2023. | Also Director of Digital for the South East Wales Regional Partnership — regional gateway, not just ABUHB. | MSc Health Informatics, Swansea University; ex-Hywel Dda (west-Wales perspective). | Active on LinkedIn — engages publicly with recruitment, vendor, and team posts. | Dual role makes him a high-leverage contact for regional digital programmes.","Engage on LinkedIn first; pitches that scale across the SE Wales Regional Partnership go further than ABUHB-only ones. | Don't ignore his regional dual-role — treating him as ABUHB-only undersells the gateway.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Aneurin Bevan UHB,Robert Holcombe,Executive Director of Finance and Procurement,,,,,"FCCA (Fellow of ACCA), Masters in Management Accounting — NOT a CIPFA accountant, so frame business cases in commercial/ROI language rather than public-sector cost-recovery jargon. | Started NHS career 1990 with South Glamorgan Health Authority; ex-Finance Director of Blaenau Gwent LHB and of an acute hospital in Saudi Arabia — unusual international healthcare experience. | Attended Harvard Business School Value-Based Healthcare programme — ABUHB is a UK beacon for VBHC, and Holcombe owns the finance side of that story; pitch outcomes / cost-per-outcome. | Welsh representative on HFMA's National Policy & Research Committee — visible and networked nationally with English NHS finance leaders. | Engagement context Dec 2025: ABUHB escalated to enhanced monitoring (one level below Special Measures) — finance recovery is now Holcombe's dominant agenda. | Hook: digital investments tied to measurable patient outcomes / unit costs (VBHC framing) land far better than feature-led pitches.","Use outcomes / unit-cost / VBHC language; he attended Harvard's VBHC programme and owns the finance side of ABUHB's VBHC story. | Don't lead with CIPFA cost-recovery jargon — he is FCCA, commercial, ROI-minded.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Betsi Cadwaladr UHB,Carol Shillabeer,CEO,https://uk.linkedin.com/in/carol-shillabeer-4456666b,,,,"Registered nurse by background; entered NHS Wales exec ranks via Powys (Director of Nursing 2009, then CEO 2015-2023). | Stepped in as Interim CEO of BCUHB May 2023 after Welsh Government re-imposed Special Measures; confirmed substantively Jan 2024. | Inherits Level 5 escalation — finance, governance and clinical quality recovery is her near-term agenda; £82m Welsh Government transformation grant contingent on financial grip. | Powys/rural background means she understands Mid/North Wales geography and the dependency on cross-border English providers (Robert Jones & Agnes Hunt, Countess of Chester). | Keeps Dylan Roberts (CDIO) very visible — pair him in any digital outreach rather than approaching her cold. | Hook: reduce unwarranted variation, RTT backlog, or 'drag' on patient flow — she frames recovery in those terms.","Frame around variation reduction, RTT backlog and 'drag' on patient flow — her own language. | Pair Dylan Roberts in any digital outreach; cold-pitching her directly will land worse.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Betsi Cadwaladr UHB,Dyfed Edwards,Chair (non-executive),,,,,"Interim Chair from Feb 2023 when the board was stood down; substantively appointed 30 Jan 2024 for four-year term. | Former Leader of Gwynedd Council (2008-2017); Welsh Local Politician of the Year 2009; ex VP of WLGA. | Independent Member on Public Health Wales Board since April 2018; Deputy Chair of Welsh Revenue Authority. | Fluent Welsh speaker and primarily Welsh-language-medium leader — Welsh-medium engagement is meaningful to him. | Public-sector / local-government instincts — frames strategy around population, prevention and council partnerships, not acute metrics. | Hook: regional integration with North Wales councils, prevention and population-health programmes, Welsh-language patient-facing services.","Welsh-medium engagement is meaningful; lead with population, prevention and council partnerships. | Avoid acute-hospital-metrics framing — not his register; he is a place-based politician.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Betsi Cadwaladr UHB,Dylan Roberts,Chief Digital and Information Officer,https://www.linkedin.com/in/dylan-roberts-41a5a34,,,,"UK CIO 100 top ten three years running. | Built the Leeds Care Record. | Far more visible on LinkedIn than CEO Carol Shillabeer. | If your offering is digital, target Dylan over the CEO.","He is the digital target, not the CEO. Engage him on LinkedIn; cite the Leeds Care Record as common ground. | Don't treat him as a Welsh insider — he brings English ICS instincts and benchmarks against England.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
Wales,Betsi Cadwaladr UHB,Dr Clara Day,Executive Medical Director,https://www.linkedin.com/in/clara-day-449a0923,,,,"Joined BCUHB end-September 2025 from NHS Birmingham and Solihull ICB (CMO there from May 2022). | Consultant renal physician at University Hospitals Birmingham since 2008. | PhD Immunology, University of Birmingham; Health Foundation Generation Q Fellow. | BCUHB is in special-measures level 5 — quality, governance, and clinical leadership are her primary focus. | New in post — receptive window while she is setting agenda.","New in post — receptive window. Frame around clinical leadership, governance and quality recovery from Level 5. | Don't ignore the Level 5 special-measures context — she is there to fix it, not innovate around it.",https://github.com/joelparkerhenderson/leaders/blob/main/health/united-kingdom-national-health-service-wales/leaders.yml
